성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대,연도
남,30대,생산직,21:00~23:59,21:00~23:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,20대,생산직,12:00~14:59,12:00~14:59,2019
남,50세 이상,무직,15:00~17:59,이용하지 않음,2019
남,30대,사무직,21:00~23:59,21:00~23:59,2019
남,40대,생산직,12:00~14:59,12:00~14:59,2019
남,40대,사무직,18:00~20:59,21:00~23:59,2019
남,20대,서비스/판매직,12:00~14:59,15:00~17:59,2019
남,40대,서비스/판매직,18:00~20:59,이용하지 않음,2019
남,50세 이상,사무직,21:00~23:59,21:00~23:59,2019
남,20대,사무직,21:00~23:59,15:00~17:59,2019
남,50세 이상,사무직,21:00~23:59,12:00~14:59,2019
남,20대,무직,18:00~20:59,21:00~23:59,2019
남,10대,학생,21:00~23:59,12:00~14:59,2019
남,20대,무직,21:00~23:59,21:00~23:59,2019
남,20대,학생,이용하지 않음,12:00~14:59,2019
남,50세 이상,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,50세 이상,사무직,12:00~14:59,12:00~14:59,2019
남,10대,학생,18:00~20:59,18:00~20:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,50세 이상,서비스/판매직,21:00~23:59,15:00~17:59,2019
남,30대,사무직,18:00~20:59,15:00~17:59,2019
남,40대,사무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,18:00~20:59,18:00~20:59,2019
남,10대,학생,18:00~20:59,12:00~14:59,2019
남,40대,생산직,18:00~20:59,18:00~20:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,이용하지 않음,12:00~14:59,2019
남,20대,학생,18:00~20:59,18:00~20:59,2019
남,40대,사무직,18:00~20:59,18:00~20:59,2019
남,50세 이상,사무직,12:00~14:59,18:00~20:59,2019
남,20대,학생,15:00~17:59,18:00~20:59,2019
남,20대,무직,12:00~14:59,12:00~14:59,2019
남,30대,사무직,이용하지 않음,18:00~20:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,20대,학생,15:00~17:59,18:00~20:59,2019
남,30대,생산직,15:00~17:59,15:00~17:59,2019
남,20대,사무직,24:00~5:59,21:00~23:59,2019
남,40대,사무직,15:00~17:59,18:00~20:59,2019
남,40대,생산직,21:00~23:59,21:00~23:59,2019
남,20대,생산직,21:00~23:59,18:00~20:59,2019
남,10대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,20대,학생,18:00~20:59,18:00~20:59,2019
남,40대,생산직,12:00~14:59,15:00~17:59,2019
남,40대,사무직,이용하지 않음,12:00~14:59,2019
남,30대,사무직,21:00~23:59,18:00~20:59,2019
남,20대,학생,24:00~5:59,24:00~5:59,2019
남,30대,서비스/판매직,15:00~17:59,18:00~20:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,21:00~23:59,이용하지 않음,2019
남,30대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,18:00~20:59,21:00~23:59,2019
남,50세 이상,사무직,18:00~20:59,18:00~20:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,20대,사무직,21:00~23:59,15:00~17:59,2019
남,40대,서비스/판매직,12:00~14:59,이용하지 않음,2019
남,30대,사무직,24:00~5:59,이용하지 않음,2019
남,50세 이상,사무직,18:00~20:59,이용하지 않음,2019
남,20대,서비스/판매직,18:00~20:59,이용하지 않음,2019
남,50세 이상,생산직,12:00~14:59,이용하지 않음,2019
남,30대,사무직,21:00~23:59,21:00~23:59,2019
남,30대,생산직,12:00~14:59,15:00~17:59,2019
남,50세 이상,사무직,15:00~17:59,15:00~17:59,2019
남,40대,생산직,21:00~23:59,15:00~17:59,2019
남,40대,사무직,21:00~23:59,12:00~14:59,2019
남,50세 이상,사무직,15:00~17:59,15:00~17:59,2019
남,50세 이상,사무직,12:00~14:59,21:00~23:59,2019
남,40대,생산직,21:00~23:59,21:00~23:59,2019
남,40대,서비스/판매직,12:00~14:59,이용하지 않음,2019
남,20대,무직,21:00~23:59,15:00~17:59,2019
남,30대,사무직,18:00~20:59,이용하지 않음,2019
남,40대,사무직,12:00~14:59,21:00~23:59,2019
남,20대,사무직,15:00~17:59,15:00~17:59,2019
남,40대,사무직,21:00~23:59,12:00~14:59,2019
남,40대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,40대,서비스/판매직,9:00~11:59,12:00~14:59,2019
남,30대,서비스/판매직,18:00~20:59,15:00~17:59,2019
남,40대,사무직,12:00~14:59,15:00~17:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,20대,서비스/판매직,15:00~17:59,15:00~17:59,2019
남,50세 이상,생산직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,21:00~23:59,24:00~5:59,2019
남,20대,학생,21:00~23:59,21:00~23:59,2019
남,10대,학생,18:00~20:59,18:00~20:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,30대,사무직,21:00~23:59,이용하지 않음,2019
남,50세 이상,사무직,18:00~20:59,12:00~14:59,2019
남,30대,생산직,21:00~23:59,18:00~20:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,20대,사무직,21:00~23:59,이용하지 않음,2019
남,50세 이상,생산직,21:00~23:59,21:00~23:59,2019
남,30대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,50세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2019
남,30대,서비스/판매직,24:00~5:59,24:00~5:59,2019
남,40대,생산직,15:00~17:59,15:00~17:59,2019
남,20대,서비스/판매직,18:00~20:59,9:00~11:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,21:00~23:59,15:00~17:59,2019
남,50세 이상,무직,15:00~17:59,12:00~14:59,2019
남,50세 이상,사무직,15:00~17:59,12:00~14:59,2019
남,50세 이상,무직,6:00~8:59,6:00~8:59,2019
남,30대,서비스/판매직,18:00~20:59,15:00~17:59,2019
남,20대,사무직,24:00~5:59,24:00~5:59,2019
남,50세 이상,생산직,이용하지 않음,15:00~17:59,2019
남,40대,사무직,9:00~11:59,이용하지 않음,2019
남,40대,생산직,21:00~23:59,9:00~11:59,2019
남,30대,생산직,18:00~20:59,9:00~11:59,2019
남,50세 이상,생산직,15:00~17:59,15:00~17:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,40대,무직,9:00~11:59,이용하지 않음,2019
남,20대,생산직,21:00~23:59,24:00~5:59,2019
남,10대,학생,이용하지 않음,18:00~20:59,2019
남,20대,사무직,12:00~14:59,9:00~11:59,2019
남,50세 이상,무직,12:00~14:59,12:00~14:59,2019
남,40대,사무직,18:00~20:59,18:00~20:59,2019
남,20대,생산직,24:00~5:59,24:00~5:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,30대,서비스/판매직,18:00~20:59,18:00~20:59,2019
남,30대,사무직,24:00~5:59,24:00~5:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,20대,학생,18:00~20:59,18:00~20:59,2019
남,20대,학생,15:00~17:59,12:00~14:59,2019
남,30대,서비스/판매직,18:00~20:59,18:00~20:59,2019
남,30대,사무직,21:00~23:59,18:00~20:59,2019
남,50세 이상,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,30대,서비스/판매직,15:00~17:59,18:00~20:59,2019
남,40대,사무직,15:00~17:59,21:00~23:59,2019
남,50세 이상,사무직,이용하지 않음,9:00~11:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,20대,학생,21:00~23:59,21:00~23:59,2019
남,30대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,50세 이상,무직,이용하지 않음,18:00~20:59,2019
남,20대,학생,18:00~20:59,18:00~20:59,2019
남,40대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,20대,서비스/판매직,18:00~20:59,12:00~14:59,2019
남,50세 이상,사무직,21:00~23:59,18:00~20:59,2019
남,30대,사무직,12:00~14:59,15:00~17:59,2019
남,40대,사무직,18:00~20:59,18:00~20:59,2019
남,50세 이상,무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,생산직,21:00~23:59,21:00~23:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,20대,학생,21:00~23:59,18:00~20:59,2019
남,30대,서비스/판매직,18:00~20:59,18:00~20:59,2019
남,20대,사무직,18:00~20:59,18:00~20:59,2019
남,30대,생산직,18:00~20:59,15:00~17:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,20대,서비스/판매직,21:00~23:59,15:00~17:59,2019
남,20대,학생,이용하지 않음,15:00~17:59,2019
남,50세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2019
남,10대,학생,21:00~23:59,15:00~17:59,2019
남,40대,생산직,21:00~23:59,이용하지 않음,2019
남,10대,학생,18:00~20:59,18:00~20:59,2019
남,40대,서비스/판매직,12:00~14:59,이용하지 않음,2019
남,10대,서비스/판매직,12:00~14:59,이용하지 않음,2019
남,50세 이상,무직,18:00~20:59,18:00~20:59,2019
남,30대,사무직,18:00~20:59,이용하지 않음,2019
남,20대,서비스/판매직,15:00~17:59,이용하지 않음,2019
남,30대,사무직,18:00~20:59,15:00~17:59,2019
남,50세 이상,사무직,18:00~20:59,12:00~14:59,2019
남,40대,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,40대,서비스/판매직,12:00~14:59,21:00~23:59,2019
남,30대,사무직,이용하지 않음,21:00~23:59,2019
남,30대,서비스/판매직,이용하지 않음,15:00~17:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,50세 이상,사무직,이용하지 않음,12:00~14:59,2019
남,30대,사무직,21:00~23:59,12:00~14:59,2019
남,50세 이상,생산직,이용하지 않음,18:00~20:59,2019
남,50세 이상,생산직,이용하지 않음,15:00~17:59,2019
남,20대,학생,21:00~23:59,21:00~23:59,2019
남,20대,생산직,18:00~20:59,18:00~20:59,2019
남,20대,무직,15:00~17:59,15:00~17:59,2019
남,50세 이상,생산직,이용하지 않음,12:00~14:59,2019
남,10대,학생,21:00~23:59,9:00~11:59,2019
남,40대,사무직,24:00~5:59,24:00~5:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,이용하지 않음,이용하지 않음,2019
남,40대,사무직,12:00~14:59,12:00~14:59,2019
남,10대,학생,12:00~14:59,12:00~14:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,18:00~20:59,이용하지 않음,2019
남,10대,학생,21:00~23:59,18:00~20:59,2019
남,40대,사무직,18:00~20:59,18:00~20:59,2019
남,10대,학생,이용하지 않음,12:00~14:59,2019
남,40대,사무직,이용하지 않음,15:00~17:59,2019
남,50세 이상,생산직,15:00~17:59,15:00~17:59,2019
남,30대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,12:00~14:59,이용하지 않음,2019
남,40대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,40대,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,40대,사무직,15:00~17:59,18:00~20:59,2019
남,50세 이상,사무직,15:00~17:59,이용하지 않음,2019
남,50세 이상,무직,18:00~20:59,18:00~20:59,2019
남,40대,사무직,15:00~17:59,18:00~20:59,2019
남,40대,사무직,21:00~23:59,15:00~17:59,2019
남,30대,사무직,18:00~20:59,15:00~17:59,2019
남,30대,서비스/판매직,18:00~20:59,12:00~14:59,2019
남,30대,생산직,12:00~14:59,12:00~14:59,2019
남,20대,무직,24:00~5:59,24:00~5:59,2019
남,40대,사무직,6:00~8:59,18:00~20:59,2019
남,30대,사무직,18:00~20:59,15:00~17:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,30대,사무직,21:00~23:59,15:00~17:59,2019
남,20대,생산직,18:00~20:59,18:00~20:59,2019
남,50세 이상,사무직,21:00~23:59,12:00~14:59,2019
남,40대,무직,15:00~17:59,15:00~17:59,2019
남,50세 이상,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,10대,학생,21:00~23:59,21:00~23:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,무직,18:00~20:59,18:00~20:59,2019
남,50세 이상,무직,18:00~20:59,18:00~20:59,2019
남,40대,사무직,21:00~23:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,21:00~23:59,15:00~17:59,2019
남,50세 이상,무직,18:00~20:59,9:00~11:59,2019
남,20대,무직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,사무직,12:00~14:59,21:00~23:59,2019
남,50세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2019
남,30대,사무직,이용하지 않음,21:00~23:59,2019
남,50세 이상,생산직,18:00~20:59,18:00~20:59,2019
남,20대,서비스/판매직,15:00~17:59,15:00~17:59,2019
남,30대,생산직,21:00~23:59,이용하지 않음,2019
남,20대,학생,18:00~20:59,15:00~17:59,2019
남,20대,생산직,18:00~20:59,15:00~17:59,2019
남,30대,생산직,이용하지 않음,21:00~23:59,2019
남,50세 이상,사무직,21:00~23:59,21:00~23:59,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,이용하지 않음,15:00~17:59,2019
남,40대,생산직,18:00~20:59,18:00~20:59,2019
남,50세 이상,사무직,12:00~14:59,이용하지 않음,2019
남,50세 이상,사무직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,18:00~20:59,18:00~20:59,2019
남,40대,사무직,21:00~23:59,15:00~17:59,2019
남,30대,사무직,15:00~17:59,15:00~17:59,2019
남,20대,무직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,40대,생산직,21:00~23:59,21:00~23:59,2019
남,30대,생산직,18:00~20:59,15:00~17:59,2019
남,50세 이상,무직,이용하지 않음,18:00~20:59,2019
남,20대,생산직,21:00~23:59,21:00~23:59,2019
남,20대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,12:00~14:59,15:00~17:59,2019
남,40대,사무직,12:00~14:59,이용하지 않음,2019
남,20대,사무직,21:00~23:59,21:00~23:59,2019
남,30대,사무직,18:00~20:59,이용하지 않음,2019
남,20대,학생,이용하지 않음,이용하지 않음,2019
남,50세 이상,서비스/판매직,21:00~23:59,18:00~20:59,2019
남,20대,무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,무직,18:00~20:59,18:00~20:59,2019
남,50세 이상,사무직,12:00~14:59,이용하지 않음,2019
남,30대,서비스/판매직,6:00~8:59,24:00~5:59,2019
남,40대,사무직,12:00~14:59,15:00~17:59,2019
남,30대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,이용하지 않음,18:00~20:59,2019
남,20대,사무직,21:00~23:59,18:00~20:59,2019
남,50세 이상,생산직,12:00~14:59,이용하지 않음,2019
남,50세 이상,생산직,21:00~23:59,21:00~23:59,2019
남,10대,학생,이용하지 않음,21:00~23:59,2019
남,50세 이상,사무직,12:00~14:59,12:00~14:59,2019
남,40대,생산직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,21:00~23:59,15:00~17:59,2019
남,40대,생산직,21:00~23:59,21:00~23:59,2019
남,40대,사무직,21:00~23:59,9:00~11:59,2019
남,20대,생산직,이용하지 않음,15:00~17:59,2019
남,20대,무직,18:00~20:59,15:00~17:59,2019
남,50세 이상,무직,15:00~17:59,15:00~17:59,2019
남,20대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,20대,서비스/판매직,이용하지 않음,이용하지 않음,2019
남,20대,학생,24:00~5:59,24:00~5:59,2019
남,50세 이상,무직,15:00~17:59,12:00~14:59,2019
남,30대,서비스/판매직,24:00~5:59,24:00~5:59,2019
남,30대,사무직,이용하지 않음,이용하지 않음,2019
남,20대,학생,18:00~20:59,18:00~20:59,2019
남,50세 이상,사무직,이용하지 않음,21:00~23:59,2019
남,40대,사무직,18:00~20:59,18:00~20:59,2019
남,40대,생산직,9:00~11:59,9:00~11:59,2019
남,50세 이상,생산직,9:00~11:59,9:00~11:59,2019
남,20대,무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,생산직,9:00~11:59,이용하지 않음,2019
남,30대,사무직,12:00~14:59,이용하지 않음,2019
남,50세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,30대,서비스/판매직,21:00~23:59,21:00~23:59,2019
남,50세 이상,무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,12:00~14:59,9:00~11:59,2019
남,20대,서비스/판매직,24:00~5:59,이용하지 않음,2019
남,30대,사무직,21:00~23:59,21:00~23:59,2019
남,50세 이상,생산직,15:00~17:59,15:00~17:59,2019
남,30대,서비스/판매직,18:00~20:59,21:00~23:59,2019
남,30대,사무직,이용하지 않음,18:00~20:59,2019
남,40대,생산직,21:00~23:59,12:00~14:59,2019
남,10대,무직,24:00~5:59,24:00~5:59,2019
남,40대,사무직,18:00~20:59,12:00~14:59,2019
남,40대,서비스/판매직,21:00~23:59,24:00~5:59,2019
남,50세 이상,생산직,21:00~23:59,18:00~20:59,2019
남,20대,무직,18:00~20:59,12:00~14:59,2019
남,50세 이상,생산직,12:00~14:59,이용하지 않음,2019
남,50세 이상,서비스/판매직,18:00~20:59,18:00~20:59,2019
남,20대,학생,12:00~14:59,21:00~23:59,2019
남,10대,학생,24:00~5:59,24:00~5:59,2019
남,50세 이상,생산직,18:00~20:59,18:00~20:59,2019
남,50세 이상,무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,생산직,12:00~14:59,12:00~14:59,2019
남,50세 이상,무직,12:00~14:59,12:00~14:59,2019
남,50세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,40대,생산직,15:00~17:59,15:00~17:59,2019
남,50세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2019
남,40대,사무직,12:00~14:59,12:00~14:59,2019
남,40대,사무직,24:00~5:59,24:00~5:59,2019
남,50세 이상,무직,12:00~14:59,이용하지 않음,2019
